name,lat,lon
Regensdorf Zentrum,47.4311183,8.4661351
Hauptbahnhof,47.4993478,8.723693
Sportanlage Wisacher,47.4376846,8.4607903
Dunkelhölzli,47.3885975,8.4703424
Schulhaus Buchlern,47.3846789,8.4785395
Escher-Wyss-Platz,47.3906783,8.5224005
Glaubtenstrasse,47.4140852,8.5192444
Hölzliwisen,47.3801955,8.6786891
Löwenplatz,47.3759408,8.5373362
Wildberg Alte Post,47.4277045,8.8160001
Giesserei Wolfensberger,47.363447,8.8715665
Stampfenbachplatz,47.3801519,8.542687
Glaubtenstrasse Nord,47.4147631,8.5197205
Holzerhurd,47.4237869,8.4966542
Unterottikon,47.2920806,8.7757513
Robenhausen,47.3293645,8.7854706
Stuketen,47.4039139,8.7629284
Frymannstrasse,47.3349436,8.5193412
Lägernstrasse,47.3960346,8.5322182
Nordstrasse,47.3878412,8.536034
Röntgenstrasse,47.3821651,8.5294589
Helvetiaplatz,47.3762092,8.5255613
Kernstrasse,47.3746404,8.5244118
Bahnhof Enge/Bederstrasse,47.3645043,8.5302659
Seilbahn Rigiblick,47.3861207,8.5482194
Geeringstrasse,47.4143217,8.480696
Hofwiesen,47.4263974,8.6186508
Dornenstrasse,47.416423,8.6166894
Dübendorferstrasse,47.4128343,8.6204625
Embrach Gemeindehaus,47.5022585,8.5948196
Embrach Gemeindehaus,47.5025503,8.5948226
Zürcherstrasse,47.4995356,8.5948984
Embrach Post,47.5054558,8.5937048
Embrach Post,47.5062479,8.5935494
Bucheggplatz,47.3984386,8.533005
Weisslingen Mühle,47.4423176,8.7650085
Weissenthal,47.446451,8.7712206
Goldbrunnenplatz,47.3702888,8.5138776
Strick,47.3564162,8.7127133
Dammstrasse,47.3535424,8.7157153
Gschwader,47.3582876,8.7128181
Meieracher,47.3600606,8.71473
Haberweid,47.3618426,8.7130757
Brandschenke,47.3616981,8.710596
Loren,47.3579674,8.7116728
Oberlandstrasse,47.3541834,8.7160554
Loren-Allee,47.3581828,8.7095797
Uster Spital,47.3538944,8.7236003
Uster Spital,47.3537791,8.7234085
Reithalle,47.3559743,8.7263717
Gschwaderstrasse,47.354597,8.7086355
Gschwaderstrasse,47.3547084,8.7085861
Stadtpark,47.3485578,8.7164358
Aescherstrasse,47.3508449,8.4384075
Im Klösterli,47.3845785,8.5769247
Seestrasse,47.3417681,8.5674611
Mühlebachplatz,47.2912131,8.5646339
Ebnet,47.5020548,8.8011523
Ebnet,47.5018537,8.8012431
Pestalozzistrasse,47.4990874,8.7988722
Sportplatz,47.5020179,8.7909709
Bännebrett,47.5042012,8.7834677
Gemeindeplatz,47.2876984,8.4307099
Sunnenberg,47.3124628,8.4736504
Sunnenberg,47.3121535,8.4735027
Kerag,47.2049439,8.7050188
Bächlistrasse,47.2053552,8.7002212
Im Leemann,47.2052501,8.694084
Speerstrasse,47.2063307,8.6923455
Untere Schwanden,47.2060784,8.6869378
Obermatt,47.2033291,8.6855251
Obermatt,47.204221,8.6863781
Bucheggplatz,47.3983401,8.533454
Dörfli,47.4002785,8.4068713
Hofacker,47.3984396,8.4111645
Birmensdorferstrasse,47.3977069,8.4170471
Uitikonerstrasse,47.3823193,8.4259624
Weihermatt Bahnhof,47.3800963,8.429836
Langächer,47.3437164,8.4690535
